source,date,beds,rent,sqft,lat,lng,below_fmr
Zillow,2021-04-09,3,1720,1665,29.836,-97.933,FALSE
Zillow,2021-04-09,3,1700,1330,29.977,-97.841,FALSE
Zillow,2021-04-09,2,957,850,29.893,-97.916,TRUE
Zillow,2021-04-09,4,1439,1456,29.92,-97.889,TRUE
Zillow,2021-04-09,3,1850,2140,29.95,-97.845,FALSE
Zillow,2021-04-09,3,1565,1359,29.971,-97.843,FALSE
Zillow,2021-04-09,5,2395,2168,29.82,-97.939,FALSE
Zillow,2021-04-09,3,1550,1051,29.881,-97.963,FALSE
Zillow,2021-04-09,3,1495,1100,29.88,-97.959,FALSE
Zillow,2021-04-09,3,1500,1200,29.902,-97.954,FALSE
Zillow,2021-04-09,3,1950,1978,30.079,-97.83,FALSE
Zillow,2021-04-09,4,1750,1430,30.576,-97.881,TRUE
Zillow,2021-04-09,3,2395,1788,30.517,-97.865,FALSE
Zillow,2021-04-09,3,1800,1404,30.576,-97.88,FALSE
Zillow,2021-04-09,4,3200,3179,30.511,-97.81,FALSE
Zillow,2021-04-09,3,2100,1400,30.56,-97.861,FALSE
Zillow,2021-04-09,2,1400,1163,30.536,-97.67,TRUE
Zillow,2021-04-09,2,2150,1966,30.546,-97.595,FALSE
Zillow,2021-04-09,4,2300,3002,30.556,-97.666,FALSE
Zillow,2021-04-09,3,2000,1958,30.562,-97.664,FALSE
Zillow,2021-04-09,3,2200,1887,30.546,-97.853,FALSE
Zillow,2021-04-09,2,1350,972,30.489,-97.641,TRUE
Zillow,2021-04-09,4,3200,3500,30.49,-97.817,FALSE
Zillow,2021-04-09,4,3500,3032,30.553,-97.816,FALSE
Zillow,2021-04-09,3,1800,1540,30.527,-97.709,FALSE
Zillow,2021-04-09,4,2700,2746,30.549,-97.597,FALSE
Zillow,2021-04-09,4,1895,2381,30.635,-97.651,FALSE
Zillow,2021-04-09,3,1650,1407,30.539,-97.654,FALSE
Zillow,2021-04-09,3,1795,1482,30.538,-97.741,FALSE
Zillow,2021-04-09,3,1800,1496,30.536,-97.668,FALSE
Zillow,2021-04-09,3,1870,1637,30.491,-97.635,FALSE
Zillow,2021-04-09,3,1900,1243,30.63,-97.651,FALSE
Zillow,2021-04-09,3,1470,989,30.489,-97.694,FALSE
Zillow,2021-04-09,3,2100,2021,30.504,-97.735,FALSE
Zillow,2021-04-09,4,2600,2508,30.634,-97.817,FALSE
Zillow,2021-04-09,5,4300,3763,30.497,-97.77,FALSE
Zillow,2021-04-09,3,2450,2422,30.516,-97.723,FALSE
Zillow,2021-04-09,3,1800,1764,30.708,-97.662,FALSE
Zillow,2021-04-09,2,1500,1100,30.568,-97.857,FALSE
GoSection8,2021-04-30,2,1210,NA,30.147,-97.793,TRUE
GoSection8,2021-04-30,2,1246,NA,30.427,-97.704,TRUE
GoSection8,2021-04-30,1,1015,NA,30.394,-97.671,TRUE
GoSection8,2021-04-30,2,1175,NA,30.394,-97.671,TRUE
GoSection8,2021-04-30,4,1544,NA,30.394,-97.671,TRUE
GoSection8,2021-04-30,3,1395,NA,30.394,-97.671,TRUE
GoSection8,2021-04-30,3,1633,NA,30.427,-97.704,FALSE
GoSection8,2021-04-30,2,1236,NA,30.171,-97.722,TRUE
GoSection8,2021-04-30,0,957,NA,30.253,-97.764,TRUE
GoSection8,2021-04-30,2,1390,NA,30.282,-97.708,TRUE
GoSection8,2021-04-30,3,1288,NA,30.302,-97.651,TRUE
GoSection8,2021-04-30,2,1118,NA,30.302,-97.651,TRUE
GoSection8,2021-04-30,1,931,NA,30.302,-97.651,TRUE
GoSection8,2021-04-30,2,1000,NA,30.302,-97.651,TRUE
GoSection8,2021-04-30,2,1249,NA,30.327,-97.69,TRUE
GoSection8,2021-04-30,1,943,NA,30.393,-97.676,TRUE
GoSection8,2021-04-30,3,1160,NA,30.223,-97.705,TRUE
GoSection8,2021-04-30,1,815,NA,30.223,-97.705,TRUE
GoSection8,2021-04-30,2,1010,NA,30.223,-97.705,TRUE
GoSection8,2021-04-30,2,1207,NA,30.349,-97.677,TRUE
GoSection8,2021-04-30,2,1234,NA,30.18,-97.777,TRUE
GoSection8,2021-04-30,1,989,NA,30.18,-97.777,TRUE
GoSection8,2021-04-30,3,1543,NA,30.18,-97.777,FALSE
GoSection8,2021-04-30,2,1134,NA,30.18,-97.777,TRUE
GoSection8,2021-04-30,1,1056,NA,30.229,-97.759,TRUE
GoSection8,2021-04-30,1,1063,NA,30.464,-97.646,TRUE
GoSection8,2021-04-30,2,1276,NA,30.464,-97.646,TRUE
GoSection8,2021-04-30,1,820,NA,30.335,-97.707,TRUE
GoSection8,2021-04-30,2,1050,NA,30.371,-97.675,TRUE
GoSection8,2021-04-30,4,1680,NA,30.259,-97.727,TRUE
GoSection8,2021-04-30,3,1502,NA,30.259,-97.727,FALSE
GoSection8,2021-04-30,2,1298,NA,30.259,-97.727,TRUE
GoSection8,2021-04-30,1,1077,NA,30.259,-97.727,TRUE
GoSection8,2021-04-30,2,959,NA,30.39,-97.647,TRUE
GoSection8,2021-04-30,1,1005,NA,30.455,-97.685,TRUE
GoSection8,2021-04-30,1,1095,NA,30.455,-97.685,TRUE
GoSection8,2021-04-30,1,985,NA,30.455,-97.685,TRUE
GoSection8,2021-04-30,2,875,NA,30.305,-97.679,TRUE
GoSection8,2021-04-30,2,1300,NA,30.393,-97.676,TRUE
GoSection8,2021-04-30,2,1152,NA,30.393,-97.676,TRUE
GoSection8,2021-04-30,1,750,NA,30.305,-97.679,TRUE
GoSection8,2021-04-30,2,909,NA,30.225,-97.731,TRUE
