source,date,beds,rent,sqft,lat,lng,below_fmr
Craigslist,2021-04-13,1,1710,910,47.467,-122.206,FALSE
Craigslist,2021-04-13,1,1685,920,47.467,-122.206,FALSE
Craigslist,2021-04-13,3,3300,1317,47.606,-122.305,FALSE
Craigslist,2021-04-13,1,1570,900,47.467,-122.206,TRUE
Craigslist,2021-04-13,0,1399,674,47.853,-122.259,TRUE
Craigslist,2021-04-13,1,1500,235,47.669,-122.1,TRUE
Craigslist,2021-04-13,1,455,NA,47.928,-122.204,TRUE
Craigslist,2021-04-13,3,3995,1641,47.615,-122.327,FALSE
Craigslist,2021-04-13,0,982,188,47.661,-122.312,TRUE
Craigslist,2021-04-13,1,1575,528,47.557,-122.286,TRUE
Craigslist,2021-04-13,2,2975,885,47.617,-122.349,FALSE
Craigslist,2021-04-13,1,1844,680,47.093,-122.64,FALSE
Craigslist,2021-04-13,0,1926,573,47.676,-122.205,FALSE
Craigslist,2021-04-13,1,1897,663,47.581,-122.219,FALSE
Craigslist,2021-04-13,1,1581,493,47.681,-122.325,TRUE
Craigslist,2021-04-13,1,1500,513,47.63,-122.341,TRUE
Craigslist,2021-04-13,2,1553,813,47.391,-122.234,TRUE
Craigslist,2021-04-13,0,1694,548,47.63,-122.341,FALSE
Craigslist,2021-04-13,1,1715,600,47.669,-122.398,FALSE
Craigslist,2021-04-13,2,1665,850,47.379,-122.26,TRUE
Craigslist,2021-04-13,1,1868,603,47.614,-122.345,FALSE
Craigslist,2021-04-13,1,1640,644,47.975,-122.201,FALSE
Craigslist,2021-04-13,2,1299,718,48.152,-122.201,TRUE
Craigslist,2021-04-13,2,2015,1021,47.477,-122.225,FALSE
Craigslist,2021-04-13,1,1275,530,47.369,-122.306,TRUE
Craigslist,2021-04-13,2,2181,1026,47.879,-122.219,FALSE
Craigslist,2021-04-13,0,1099,272,47.67,-122.38,TRUE
Craigslist,2021-04-13,2,1300,800,47.128,-122.55,TRUE
Craigslist,2021-04-13,3,1950,1553,47.128,-122.55,FALSE
Craigslist,2021-04-13,2,1725,1150,47.235,-122.549,FALSE
Craigslist,2021-04-13,2,2150,900,47.661,-122.331,FALSE
Craigslist,2021-04-13,2,1550,780,48.005,-122.19,TRUE
Craigslist,2021-04-13,2,1499,NA,47.77,-122.301,TRUE
Craigslist,2021-04-13,0,1421,545,47.446,-122.29,TRUE
